Name,Session Date,Session2,Facilitator,Grade Level Band,Content Focus,Campus Name,"The format, layout, and supports embedded in the session made it easy to understand.",The session provided me with valuable information. ,The session was engaging and interactive. ,I feel confident about my ability to apply the knowledge from this session. ,"Based on today's learning, I am ready to teach summer school.",List at least one key learning from today's session and how it will support instruction during summer school.,Additional Comments:,Last modified time
Participant 247,5/26/2025,Teacher  Summer School G1 and G2 Curriculum,Sandy,Elementary ,Social Studies,Campus B,4,4,4,4,4,Dealing with Amira ,,
Participant 154,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Yaya,Elementary ,Mathematics,Campus A,5,5,5,5,5,How to access and navigate summer school curriculum documents on Canvas,,
Participant 30,5/27/2025,Summer School Training for Teachers of PreK ,Gabi,Elementary ,summer school,Campus B,5,5,5,5,5,"Respect the time for each activity, use fun materials, and use the Math Academy app.",,
Participant 255,5/27/2025,Summer School Training for Teachers of PreK ,Randy,Elementary ,Reading Success,Campus B,5,5,5,5,5,ALL the subjects to teach on time very well organized ,,
Participant 163,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Middle ,SPED,Campus D,5,5,5,5,5,Digital learning during enrichment ,,
Participant 46,5/27/2025,Summer School Training for Teachers of PreK ,Susana,Elementary ,ECH pre-k Summer School,Campus C,5,5,5,5,5,Small group,,
Participant 216,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus C,5,5,5,5,5,Interventions,Pacing of the lesson,
Participant 541,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus C,5,5,5,5,5,Pacing of the Lesson,.,
Participant 145,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,General overview of summer school,Campus C,4,4,4,4,4,Zearn progress reports will help monitor student growth and identify areas of needs.,,
Participant 206,5/27/2025,Teacher  Summer School G3-G8 Curriculum  ,Morris,Elementary ,Mathematics,Campus C,4,4,3,5,4,They documents will be provided. ,NA,
